name,accept_rate,outstate,enroll,grad_rate,private,is_elite
Abilene Christian University,0.7421686746987952,7440,721,60,Yes,Not Elite
Adelphi University,0.8801463860933212,12280,512,56,Yes,Not Elite
Adrian College,0.7682072829131653,11250,336,54,Yes,Not Elite
Agnes Scott College,0.8369304556354916,12960,137,59,Yes,Elite
Alaska Pacific University,0.7564766839378239,7560,55,15,Yes,Not Elite
Albertson College,0.8160136286201022,13500,158,55,Yes,Not Elite
Albertus Magnus College,0.9631728045325779,13290,103,63,Yes,Not Elite
Albion College,0.9057398630858347,13868,489,73,Yes,Not Elite
Albright College,0.8082851637764933,15595,227,80,Yes,Not Elite
Alderson-Broaddus College,0.8556701030927835,10468,172,52,Yes,Not Elite
Alfred University,0.8227482678983834,16548,472,73,Yes,Not Elite
Allegheny College,0.7164404223227753,17080,484,76,Yes,Not Elite
Allentown Coll. of St. Francis de Sales,0.6615776081424937,9690,290,74,Yes,Not Elite
Alma College,0.8524072612470402,12572,385,68,Yes,Not Elite
Alverno College,0.6336032388663968,8352,157,55,Yes,Not Elite
American International College,0.7697183098591549,8700,220,69,Yes,Not Elite
Amherst College,0.23059042305904232,19760,418,100,Yes,Elite
Anderson University,0.7467105263157895,10100,423,59,Yes,Not Elite
Andrews University,0.6230088495575221,9996,322,46,Yes,Not Elite
Angelo State University,0.5652542372881356,5130,1016,34,No,Not Elite
Antioch University,0.9270687237026648,15476,252,48,Yes,Not Elite
Appalachian State University,0.6377683577191303,6806,1910,70,No,Not Elite
Aquinas College,0.8336025848142165,11208,219,65,Yes,Not Elite
Arizona State University Main campus,0.8047466625029276,7434,3761,48,No,Not Elite
Arkansas College (Lyon College),0.4717514124293785,8644,166,54,Yes,Not Elite
Arkansas Tech University,0.9971164936562861,3460,951,48,No,Not Elite
Assumption College,0.7962529274004684,12e3,491,88,Yes,Not Elite
Auburn University-Main Campus,0.8997085320614733,6300,3070,69,No,Not Elite
Augsburg College,0.7749244712990937,11902,257,58,Yes,Not Elite
Augustana College IL,0.8823842469398616,13353,497,71,Yes,Not Elite
Augustana College,0.9526938239159002,10990,306,69,Yes,Not Elite
Austin College,0.8417721518987342,11280,295,71,Yes,Not Elite
Averett College,0.886762360446571,9925,172,48,Yes,Not Elite
Baker University,0.8023255813953488,8620,206,65,Yes,Not Elite
Baldwin-Wallace College,0.808284023668639,10995,662,85,Yes,Not Elite
Barat College,0.735632183908046,9690,111,71,Yes,Not Elite
Bard College,0.4387434554973822,19264,285,79,Yes,Not Elite
Barnard College,0.561698717948718,17926,531,91,Yes,Elite
Barry University,0.7919191919191919,11290,279,72,Yes,Not Elite
Baylor University,0.8804938271604938,6450,2367,72,Yes,Not Elite
Beaver College,0.7308684436801376,12850,348,73,Yes,Not Elite
Bellarmine College,0.8760842627013631,8840,308,84,Yes,Not Elite
Belmont Abbey College,0.7816455696202531,9e3,129,52,Yes,Not Elite
Belmont University,0.7983606557377049,7800,481,49,Yes,Not Elite
Beloit College,0.6992424242424242,16304,284,69,Yes,Not Elite
Bemidji State University,0.7259933774834437,4425,546,46,No,Not Elite
Benedictine College,0.9810126582278481,9550,222,58,Yes,Not Elite
Bennington College,0.63005780346820806,21700,114,55,Yes,Not Elite
Bentley College,0.6722446624350836,13800,640,82,Yes,Not Elite
Berry College,0.6571582346609257,8050,480,63,Yes,Not Elite
Bethany College,0.929384965831435,8740,200,48,Yes,Not Elite
Bethel College KS,0.9108910891089109,8540,122,56,Yes,Not Elite
Bethel College,0.7649402390438247,6200,104,35,Yes,Not Elite
Bethune Cookman College,0.6986634264884569,5188,542,58,Yes,Not Elite
Birmingham-Southern College,0.7304347826086957,11660,287,72,Yes,Elite
Blackburn College,0.672,6500,156,51,Yes,Not Elite
Bloomsburg Univ. of Pennsylvania,0.4470692455337369,7844,1025,75,No,Not Elite
Bluefield College,0.9496021220159151,7150,181,53,Yes,Not Elite
Bluffton College,0.7427745664739884,9900,209,58,Yes,Not Elite
Boston University,0.6441660063391442,18420,3810,72,Yes,Not Elite
Bowdoin College,0.3036352800953516,19030,418,96,Yes,Elite
Bowling Green State University,0.7926710625878284,7452,3076,67,No,Not Elite
Bradford College,0.744920993227991,14080,151,46,Yes,Not Elite
Bradley University,0.9062914786302098,10870,1061,85,Yes,Not Elite
Brandeis University,0.65527950310559,19380,740,84,Yes,Not Elite
Brenau University,0.7465940054495913,9592,158,49,Yes,Not Elite
Brewton-Parker College,0.8551532033426184,4371,1202,18,Yes,Not Elite
Briar Cliff College,0.8954081632653061,10260,155,58,Yes,Not Elite
Bridgewater College,0.8031026252983293,10265,292,82,Yes,Not Elite
Brigham Young University at Provo,0.73346911065852,2340,4615,33,Yes,Not Elite
Brown University,0.2573494358811378,19528,1462,97,Yes,Elite
Bryn Mawr College,0.552901023890785,18165,313,89,Yes,Elite
Bucknell University,0.5823152107513745,18550,862,93,Yes,Not Elite
Buena Vista College,0.8,13306,285,78,Yes,Not Elite
Butler University,0.8624047417442845,13130,700,83,Yes,Not Elite
Cabrini College,0.8247078464106845,10518,224,71,Yes,Not Elite
Caldwell College,0.5974282888229476,8900,213,55,Yes,Not Elite
California Lutheran University,0.43872113676731794,12950,247,60,Yes,Not Elite
California Polytechnic-San Luis,0.4886698246063244,7380,1650,59,No,Not Elite
California State University at Fresno,0.7255506607929515,7706,1483,61,No,Not Elite
Calvin College,0.8475336322869955,10230,913,81,Yes,Not Elite
Campbell University,0.6415908001916627,7550,657,63,Yes,Not Elite
Campbellsville College,0.6922169811320755,6060,298,49,Yes,Not Elite
Canisius College,0.768664563617245,10750,753,64,Yes,Not Elite
Capital University,0.7910704064109902,13050,449,83,Yes,Not Elite
Capitol College,0.9,8400,35,52,Yes,Not Elite
Carleton College,0.5861172976985894,19292,489,91,Yes,Elite
Carnegie Mellon University,0.5958982584784601,17900,1191,74,Yes,Elite
Carroll College,0.8543103448275862,12200,352,79,Yes,Not Elite
Carson-Newman College,0.8677007299270073,8150,464,67,Yes,Not Elite
Carthage College,0.8830445544554455,13125,434,62,Yes,Not Elite
Case Western Reserve University,0.8140314676296105,15700,713,67,Yes,Elite
Castleton State College,0.7478122513922036,7656,363,79,No,Not Elite
Catawba College,0.8125577100646353,9270,291,55,Yes,Not Elite
Catholic University of America,0.8352337514253135,13712,505,75,Yes,Not Elite
Cazenovia College,0.8923836755913699,9384,527,118,Yes,Not Elite
Cedar Crest College,0.7822164948453608,14340,198,74,Yes,Not Elite
Cedarville College,0.8339709257842387,7344,616,64,Yes,Not Elite
Centenary College,0.8455284552845529,11400,90,24,Yes,Not Elite
Centenary College of Louisiana,0.8767676767676768,8950,210,66,Yes,Not Elite
Center for Creative Studies,0.6589018302828619,11230,203,47,Yes,Not Elite
Central College,0.8674980514419329,10938,401,67,Yes,Not Elite
Central Connecticut State University,0.6089466089466089,5962,902,49,No,Not Elite
Central Missouri State University,0.8760948515274514,4620,1436,50,No,Not Elite
Central Washington University,0.7220825852782765,7242,1007,51,No,Not Elite
Central Wesleyan College,0.8390804597701149,8300,88,58,Yes,Not Elite
Centre College,0.876604146100691,11850,288,74,Yes,Elite
Chapman University,0.8039624608967675,16624,351,47,Yes,Not Elite
Chatham College,0.9292452830188679,13500,91,52,Yes,Not Elite
Chestnut Hill College,0.7426900584795322,10335,126,73,Yes,Not Elite
Christendom College,0.8888888888888888,8730,51,58,Yes,Not Elite
Christian Brothers University,0.5909090909090909,9300,224,63,Yes,Not Elite
Christopher Newport University,0.8674971687429218,7860,428,48,No,Not Elite
Claflin College,0.5827759197324415,4412,499,21,Yes,Not Elite
Claremont McKenna College,0.41236559139784945,17e3,227,87,Yes,Elite
Clark University,0.713197090405265,17500,457,79,Yes,Not Elite
Clarke College,0.7391304347826086,10740,167,74,Yes,Not Elite
Clarkson University,0.8983440662373505,15960,557,77,Yes,Not Elite
Clemson University,0.651828890266584,8116,2301,73,No,Not Elite
Clinch Valley Coll. of  the Univ. of Virginia,0.8142235123367199,7168,250,46,No,Not Elite
Coe College,0.7375745526838966,13925,275,67,Yes,Not Elite
Coker College,0.7483443708609272,9888,295,75,Yes,Not Elite
Colby College,0.4631320224719101,18930,456,91,Yes,Elite
Colgate University,0.5131795716639209,19510,727,93,Yes,Not Elite
College Misericordia,0.6201117318435754,10860,317,96,Yes,Not Elite
College of Charleston,0.6580050293378038,6120,1265,51,No,Not Elite
College of Mount St. Joseph,0.7769423558897243,9800,238,100,Yes,Not Elite
College of Mount St. Vincent,0.6849894291754757,11790,177,83,Yes,Not Elite
College of Notre Dame,0.7674418604651163,12600,97,43,Yes,Not Elite
College of Notre Dame of Maryland,0.7789934354485777,11180,177,75,Yes,Not Elite
College of Saint Benedict,0.9211087420042644,12247,511,72,Yes,Not Elite
College of Saint Catherine,0.8043052837573386,12224,186,77,Yes,Not Elite
College of Saint Elizabeth,0.8085585585585585,10900,122,78,Yes,Not Elite
College of Saint Rose,0.6754832146490336,9990,249,64,Yes,Not Elite
College of Santa Fe,0.8186813186813187,11138,189,80,Yes,Not Elite
College of St. Joseph,0.8368794326241135,8300,55,76,Yes,Not Elite
College of St. Scholastica,0.8869047619047619,11844,278,72,Yes,Not Elite
College of the Holy Cross,0.5647962591850367,18e3,659,95,Yes,Elite
College of William and Mary,0.4364198398201489,11720,1217,93,No,Elite
College of Wooster,0.8966666666666666,16240,553,69,Yes,Not Elite
Colorado College,0.49173682569379484,17142,490,84,Yes,Elite
Colorado State University,0.6659632833931209,8412,2194,59,No,Not Elite
Columbia College MO,0.5031847133757962,8294,132,37,Yes,Not Elite
Columbia College,0.8331071913161465,10425,242,76,Yes,Not Elite
Columbia University,0.28567199526346954,18624,871,99,Yes,Elite
Concordia College at St. Paul,0.9466192170818505,10500,139,45,Yes,Not Elite
Concordia Lutheran College,0.9310344827586207,6900,106,42,Yes,Not Elite
Concordia University CA,0.7223837209302325,10800,144,55,Yes,Not Elite
Concordia University,0.7632575757575758,9216,186,75,Yes,Not Elite
Connecticut College,0.5093904448105436,18740,438,91,Yes,Not Elite
Converse College,0.925,12050,149,75,Yes,Not Elite
Cornell College,0.864109232769831,15248,383,64,Yes,Not Elite
Creighton University,0.9558476575665655,10628,876,85,Yes,Not Elite
Culver-Stockton College,0.7043147208121827,8e3,274,51,Yes,Not Elite
Cumberland College,0.792964824120603,6230,398,63,Yes,Not Elite
D'Youville College,0.7147806004618937,8920,157,46,Yes,Not Elite
Dana College,0.9563492063492064,9130,185,54,Yes,Not Elite
Daniel Webster College,0.8683760683760684,12292,153,72,Yes,Not Elite
Dartmouth College,0.2647024572027483,19545,1087,98,Yes,Elite
Davidson College,0.4028655710071639,17295,452,94,Yes,Elite
Defiance College,0.8073555166374781,10850,174,56,Yes,Not Elite
Delta State University,0.9772492244053774,4528,459,58,No,Not Elite
Denison University,0.8251267197682839,16900,533,81,Yes,Not Elite
DePauw University,0.8304914744232698,14300,495,82,Yes,Not Elite
Dickinson College,0.8424021234240212,18700,487,87,Yes,Not Elite
Dickinson State University,0.9493087557603687,4486,319,46,No,Not Elite
Dillard University,0.6886886886886887,6700,651,61,Yes,Not Elite
Doane College,0.8940731399747793,9570,244,60,Yes,Not Elite
Dominican College of Blauvelt,0.9138888888888889,8310,108,54,Yes,Not Elite
Dordt College,0.9304635761589404,9800,328,87,Yes,Not Elite
Dowling College,0.8199802176063303,9e3,410,42,Yes,Not Elite
Drake University,0.9192568774562344,13420,839,77,Yes,Not Elite
Drew University,0.7338597306084533,18432,321,83,Yes,Elite
Drury College,0.9285714285714286,8730,314,67,Yes,Not Elite
Duke University,0.2823264921314091,18590,1583,97,Yes,Elite
Earlham College,0.7407952871870398,15036,274,78,Yes,Not Elite
East Carolina University,0.6860038818201424,7248,2435,58,No,Not Elite
East Tennessee State University,0.8198198198198198,5800,1303,42,No,Not Elite
East Texas Baptist University,0.899736147757256,4950,265,38,Yes,Not Elite
Eastern College,0.8056768558951966,11190,165,54,Yes,Not Elite
Eastern Connecticut State University,0.6873848987108656,5962,564,50,No,Not Elite
Eastern Illinois University,0.7598713596569591,5710,1565,76,No,Not Elite
Eastern Mennonite College,0.9053497942386831,9650,227,82,Yes,Not Elite
Eastern Nazarene College,0.7926356589147286,8770,200,70,Yes,Not Elite
Eckerd College,0.779887482419128,15360,366,59,Yes,Not Elite
Elizabethtown College,0.7625155151013653,14190,426,81,Yes,Not Elite
Elmira College,0.7172271791352093,14990,345,64,Yes,Not Elite
Elms College,0.8489795918367347,11800,125,86,Yes,Not Elite
Elon College,0.7687637969094923,9100,858,63,Yes,Not Elite
Embry Riddle Aeronautical University,0.8200571247223104,7800,958,44,Yes,Not Elite
Emory & Henry College,0.8444444444444444,8578,226,82,Yes,Not Elite
Emory University,0.4900070538443452,17600,1236,96,Yes,Elite
Emporia State University,1,5401,853,50,No,Not Elite
Erskine College,0.8452200303490136,10485,167,67,Yes,Not Elite
Eureka College,0.8107142857142857,10955,113,53,Yes,Not Elite
Evergreen State College,0.6113270405330372,6297,438,68,No,Not Elite
Fairfield University,0.6994147157190636,15e3,781,94,Yes,Not Elite
Fayetteville State University,0.7312714776632302,6806,452,24,No,Not Elite
Ferrum College,0.8267363704256908,9400,336,22,Yes,Not Elite
Flagler College,0.5045936395759717,5120,338,69,Yes,Not Elite
Florida Institute of Technology,0.8115048793014895,13900,523,57,Yes,Not Elite
Florida International University,0.6288566243194192,6597,1071,66,No,Not Elite
Florida Southern College,0.7530774800868936,8025,374,68,Yes,Not Elite
Florida State University,0.7452579177752983,6680,3023,58,No,Not Elite
Fontbonne College,0.8419243986254296,8390,126,62,Yes,Not Elite
Fordham University,0.6842857142857143,14235,942,80,Yes,Not Elite
Fort Lewis College,0.8206395348837209,6198,1123,46,No,Not Elite
Francis Marion University,0.9189339255968906,5840,819,43,No,Not Elite
Franciscan University of Steubenville,0.8173598553345389,9650,228,83,Yes,Not Elite
Franklin College,0.7860696517412935,10390,281,60,Yes,Not Elite
Franklin Pierce College,0.861962598804704,13320,446,51,Yes,Not Elite
Freed-Hardeman University,0.6122905027932961,5500,314,62,Yes,Not Elite
Fresno Pacific College,0.791907514450867,9900,146,54,Yes,Elite
Furman University,0.9028227672373901,13440,685,82,Yes,Elite
Gannon University,0.7743506493506493,10970,678,65,Yes,Not Elite
Gardner Webb University,0.8378378378378378,8180,332,29,Yes,Not Elite
Geneva College,0.7994011976047904,9476,237,74,Yes,Not Elite
George Fox College,0.8974042027194067,12500,294,52,Yes,Not Elite
George Mason University,0.7652573854590483,10800,1727,46,No,Not Elite
George Washington University,0.6427936507936508,17450,1492,72,Yes,Not Elite
Georgetown College,0.953232462173315,8100,286,55,Yes,Not Elite
Georgetown University,0.25919928025191186,18300,1390,95,Yes,Elite
Georgia Institute of Technology,0.5776445068265919,6489,2276,70,No,Elite
Georgia State University,0.617189559715265,6744,1238,34,No,Not Elite
Georgian Court College,0.8074712643678161,9150,127,76,Yes,Not Elite
Gettysburg College,0.685761957730812,19964,575,83,Yes,Not Elite
Goldey Beacom College,0.7393364928909952,6120,284,36,Yes,Not Elite
Gonzaga University,0.8080593849416755,13e3,526,69,Yes,Not Elite
Gordon College,0.8382789317507419,12200,282,66,Yes,Not Elite
Goshen College,0.9,9420,221,72,Yes,Not Elite
Goucher College,0.7063423110338836,15588,248,77,Yes,Not Elite
Grace College and Seminary,0.781021897810219,8958,167,64,Yes,Not Elite
Graceland College,0.745945945945946,9100,242,47,Yes,Not Elite
Grand Valley State University,0.7525653436592449,6108,1561,57,No,Not Elite
Green Mountain College,0.8051282051282052,11750,198,76,Yes,Not Elite
Greensboro College,0.8125,8330,176,39,Yes,Not Elite
Greenville College,0.7588235294117647,10310,194,60,Yes,Not Elite
Grinnell College,0.6812162824914174,15688,432,83,Yes,Elite
Grove City College,0.4456041750301084,5224,573,100,Yes,Elite
Guilford College,0.8768718801996672,13404,326,65,Yes,Not Elite
Gustavus Adolphus College,0.8104154476301931,14125,634,80,Yes,Not Elite
Gwynedd Mercy College,0.6236842105263158,11e3,104,96,Yes,Not Elite
Hamilton College,0.5678343949044586,19700,454,91,Yes,Not Elite
Hamline University,0.820079522862823,13252,328,65,Yes,Not Elite
Hampden - Sydney College,0.7882496940024479,13218,307,69,Yes,Not Elite
Hampton University,0.5231262190025077,7161,1433,70,Yes,Not Elite
Hanover College,0.8320079522862823,8200,317,64,Yes,Not Elite
Hardin-Simmons University,0.9079229122055674,6300,350,38,Yes,Not Elite
Harding University,0.620569436374201,5504,806,73,Yes,Not Elite
Hartwick College,0.828132501200192,17480,430,73,Yes,Not Elite
Harvard University,0.1561485755499459,18485,1606,100,Yes,Elite
Harvey Mudd College,0.4153957879448075,17230,178,100,Yes,Elite
Hastings College,0.8665850673194615,9376,262,52,Yes,Not Elite
Hendrix College,0.8760631834750912,8800,274,63,Yes,Elite
Hillsdale College,0.8097826086956522,11090,347,79,Yes,Not Elite
Hiram College,0.7906724511930586,14067,244,79,Yes,Not Elite
Hobart and William Smith Colleges,0.7741815476190477,19029,500,79,Yes,Not Elite
Hofstra University,0.7889068389876144,11600,1349,60,Yes,Not Elite
Hollins College,0.8272425249169435,13470,215,72,Yes,Not Elite
Hood College,0.8082975679542204,13960,176,72,Yes,Not Elite
Hope College,0.8662383177570093,12275,624,72,Yes,Not Elite
Houghton College,0.8282402528977871,9990,302,67,Yes,Not Elite
Huntingdon College,0.8552631578947368,8080,127,44,Yes,Not Elite
Huntington College,0.9555555555555556,9950,125,47,Yes,Not Elite
Huron University,0.3283333333333333,7260,124,21,Yes,Not Elite
Husson College,0.9017980636237898,7800,361,84,Yes,Not Elite
Illinois Benedictine College,0.9192751235584844,10500,269,75,Yes,Not Elite
Illinois College,0.8803131991051454,8050,262,52,Yes,Not Elite
Illinois Institute of Technology,0.7744874715261959,14550,478,56,Yes,Not Elite
Illinois State University,0.7712245133049188,7799,2408,54,No,Not Elite
Illinois Wesleyan University,0.44,14360,471,83,Yes,Elite
Immaculata College,0.9440298507462687,1e4,103,69,Yes,Not Elite
Incarnate Word College,0.7970765262252795,8840,386,95,Yes,Not Elite
Indiana State University,0.8413147199151794,6892,3147,40,No,Not Elite
Indiana University at Bloomington,0.7983963344788088,9766,5873,68,No,Not Elite
Indiana Wesleyan University,0.5755102040816327,9210,366,34,Yes,Not Elite
Iona College,0.7215862632869992,10690,913,66,Yes,Not Elite
Iowa State University,0.8809778094220957,7550,3441,65,No,Not Elite
Ithaca College,0.7612618818019011,14424,1368,75,Yes,Not Elite
James Madison University,0.47090795687427606,7994,2082,98,No,Not Elite
Jamestown College,0.8686440677966102,7620,262,54,Yes,Not Elite
Jersey City State College,0.48123097734190057,3946,691,26,No,Not Elite
John Brown University,0.6694214876033058,6398,284,75,Yes,Not Elite
John Carroll University,0.8711276332094176,11700,820,89,Yes,Not Elite
Johns Hopkins University,0.40665565258437575,18800,911,90,Yes,Elite
Johnson State College,0.8031212484993998,7656,279,36,No,Not Elite
Judson College,0.7284345047923323,9414,137,56,Yes,Not Elite
Juniata College,0.854726368159204,14850,298,80,Yes,Not Elite
Kansas State University,0.6930272108843537,6995,2833,54,No,Not Elite
Kansas Wesleyan University,0.9762308998302207,8400,148,68,Yes,Not Elite
Keene State College,0.7837231656520346,7870,822,61,No,Not Elite
Kentucky Wesleyan College,0.851027397260274,8e3,175,62,Yes,Not Elite
Kenyon College,0.6952983725135624,19240,408,88,Yes,Not Elite
Keuka College,0.8264642082429501,9600,174,51,Yes,Not Elite
King's College,0.7232142857142857,10910,381,87,Yes,Not Elite
King College,0.8450704225352113,8664,142,65,Yes,Not Elite
Knox College,0.8125,15747,286,79,Yes,Not Elite
La Roche College,0.889196675900277,8842,185,52,Yes,Not Elite
La Salle University,0.6261522703994538,12600,622,84,Yes,Not Elite
Lafayette College,0.599002493765586,18730,572,92,Yes,Not Elite
LaGrange College,0.7334558823529411,6987,177,75,Yes,Not Elite
Lake Forest College,0.651685393258427,16880,271,77,Yes,Not Elite
Lakeland College,0.9094567404426559,9400,231,57,Yes,Not Elite
Lamar University,0.7384417808219178,4752,1043,26,No,Not Elite
Lambuth University,0.6474127557160048,5170,224,60,Yes,Not Elite
Lander University,0.8653516295025729,4938,510,51,No,Not Elite
Lawrence University,0.7618664521319388,17163,324,77,Yes,Not Elite
Le Moyne College,0.8156462585034013,11040,425,94,Yes,Not Elite
Lebanon Valley College,0.7647907647907648,13850,320,85,Yes,Not Elite
Lehigh University,0.6728153822104112,18700,1092,91,Yes,Not Elite
Lenoir-Rhyne College,0.7589376915219612,10100,259,66,Yes,Not Elite
Lesley College,0.8114754098360656,11700,82,58,Yes,Not Elite
LeTourneau University,0.8742138364779874,8840,204,56,Yes,Not Elite
Lewis and Clark College,0.7541456380677721,15800,482,69,Yes,Not Elite
Lewis University,0.9098786828422877,10560,395,61,Yes,Not Elite
Lincoln Memorial University,0.7141041931385006,5950,363,53,Yes,Not Elite
Lincoln University,0.6572289156626506,4818,326,45,No,Not Elite
Lindenwood College,0.5975308641975309,9200,356,100,Yes,Not Elite
Linfield College,0.7610506085842409,13380,458,81,Yes,Not Elite
Livingstone College,0.5255555555555556,4400,217,92,Yes,Not Elite
Lock Haven University of Pennsylvania,0.6204481792717087,7352,651,63,No,Not Elite
Longwood College,0.6807426283218057,7920,724,62,No,Not Elite
Loras College,0.7818403412553321,11200,527,70,Yes,Not Elite
Louisiana College,0.5230998509687034,5150,212,59,Yes,Not Elite
Louisiana State University at Baton Rouge,0.8327218145430287,5925,3079,37,No,Not Elite
Louisiana Tech University,0.8944513975803087,3957,1525,45,No,Not Elite
Loyola College,0.7696270853778214,12990,738,80,Yes,Not Elite
Loyola Marymount University,0.7064755838641189,13592,753,84,Yes,Not Elite
Loyola University,0.8979375991538868,11100,719,53,Yes,Not Elite
Loyola University Chicago,0.8267672534227438,11500,868,65,Yes,Not Elite
Luther College,0.8986442866365397,13240,587,77,Yes,Not Elite
Lycoming College,0.78149300155521,13900,363,72,Yes,Not Elite
Lynchburg College,0.8542141230068337,12450,366,70,Yes,Not Elite
Lyndon State College,0.9383177570093458,7320,223,51,No,Not Elite
Macalester College,0.5090166723375298,15909,452,77,Yes,Elite
MacMurray College,0.754054054054054,9620,177,59,Yes,Not Elite
Malone College,0.8672768878718535,9858,428,55,Yes,Not Elite
Manchester College,0.798804780876494,10440,239,64,Yes,Not Elite
Manhattan College,0.7113486842105263,12370,563,79,Yes,Not Elite
Manhattanville College,0.7796257796257796,14700,212,70,Yes,Not Elite
Mankato State University,0.8695086234949561,4300,1547,68,No,Not Elite
Marian College of Fond du Lac,0.8131067961165048,9400,337,59,Yes,Not Elite
Marietta College,0.595903165735568,13850,342,96,Yes,Not Elite
Marist College,0.6702599873176919,10700,830,69,Yes,Not Elite
Marquette University,0.8928571428571429,11610,1685,77,Yes,Not Elite
Marshall University,0.8674869853289162,5094,2007,50,Yes,Not Elite
Mary Baldwin College,0.8837675350701403,11200,199,90,Yes,Not Elite
Mary Washington College,0.5006896551724138,6490,756,84,No,Not Elite
Marymount College Tarrytown,0.6841004184100419,11510,117,77,Yes,Not Elite
Marymount Manhattan College,0.7697841726618705,10200,239,68,Yes,Not Elite
Marymount University,0.820403825717322,11390,214,55,Yes,Not Elite
Maryville College,0.6065573770491803,11200,176,51,Yes,Not Elite
Maryville University,0.7231329690346083,9250,169,61,Yes,Not Elite
Marywood College,0.7759710930442638,11040,323,66,Yes,Not Elite
Massachusetts Institute of Technology,0.33380127905163,20100,1078,94,Yes,Elite
Mayville State University,1,4486,153,51,No,Not Elite
McKendree College,0.5538922155688623,7680,119,52,Yes,Not Elite
McMurry University,0.7110726643598616,6930,187,32,Yes,Not Elite
McPherson College,0.6976190476190476,7950,93,48,Yes,Not Elite
Mercer University,0.7296587926509186,11985,564,91,Yes,Not Elite
Mercyhurst College,0.6897880539499036,9813,397,78,Yes,Not Elite
Meredith College,0.9008168028004667,6720,376,82,Yes,Not Elite
Merrimack College,0.7778899545683998,12500,514,80,Yes,Not Elite
Mesa State College,0.9191919191919192,5016,891,59,No,Not Elite
Messiah College,0.7933409873708381,10300,607,89,Yes,Not Elite
Miami University at Oxford,0.8429483710358264,8856,3290,85,No,Not Elite
Michigan State University,0.8333885392514078,10658,6180,71,No,Not Elite
Michigan Technological University,0.8739495798319328,8127,1032,65,No,Not Elite
MidAmerica Nazarene College,1,6840,225,49,Yes,Not Elite
Millersville University of Penn.,0.5115621360838463,7844,960,71,No,Not Elite
Milligan College,0.7557377049180328,8200,189,64,Yes,Not Elite
Millikin University,0.8732686980609419,11910,456,75,Yes,Not Elite
Millsaps College,0.9215469613259668,11320,319,58,Yes,Not Elite
Milwaukee School of Engineering,0.8940016433853739,11505,496,67,Yes,Not Elite
Mississippi College,0.6481481481481481,5580,307,61,Yes,Not Elite
Mississippi State University,0.7701527614571093,9866,1609,53,No,Not Elite
Mississippi University for Women,0.84375,4386,380,63,No,Not Elite
Missouri Southern State College,0.8413705583756346,3840,913,100,No,Not Elite
Missouri Valley College,0.750381679389313,8550,316,27,Yes,Not Elite
Monmouth College IL,0.8369384359400999,13e3,204,56,Yes,Not Elite
Monmouth College,0.6948651643886221,12480,478,54,Yes,Not Elite
Montana College of Mineral Sci. & Tech.,0.951048951048951,6073,320,74,No,Not Elite
Montana State University,0.8102857142857143,5552,1779,37,No,Not Elite
Montclair State University,0.4076628352490421,3648,865,58,No,Not Elite
Montreat-Anderson College,0.8479087452471483,8438,103,15,Yes,Not Elite
Moorhead State University,0.8861588861588862,4426,1189,60,No,Not Elite
Moravian College,0.7751623376623377,14990,303,74,Yes,Not Elite
Morehouse College,0.4525350593311758,7050,722,83,Yes,Not Elite
Morningside College,0.909556313993174,10520,239,56,Yes,Not Elite
Morris College,0.8276643990929705,4515,330,60,Yes,Not Elite
Mount Holyoke College,0.73,19300,526,84,Yes,Not Elite
Mount Marty College,0.989247311827957,6844,126,44,Yes,Not Elite
Mount Mary College,0.9234042553191489,8950,121,78,Yes,Not Elite
Mount Mercy College,0.8614130434782609,10500,159,64,Yes,Not Elite
Mount Saint Clare College,0.8738461538461538,9900,95,21,Yes,Not Elite
Mount Saint Mary's College,0.8773656320968963,12850,328,80,Yes,Not Elite
Mount Saint Mary College,0.594017094017094,7470,238,88,Yes,Not Elite
Mount St. Mary's College,0.817351598173516,12474,113,72,Yes,Not Elite
